編號,地震時間,經度,緯度,深度,規模,震央位置
100141   ,2011/10/11 下午 02:18:00,121.77,24.33,8.1,3.4,花蓮縣政府北偏東方  40.8  公里 (位於宜蘭縣近海)
小區域,2011/10/11 上午 12:33:00,121.28,22.63,23.3,3.7,台東縣政府東南方  19.1  公里 (位於台灣東部海域)
小區域,2011/10/10 上午 10:20:00,120.62,24,21.7,2.5,彰化縣政府東南方  10.9  公里 (位於彰化縣芬園鄉)
小區域,2011/10/10 上午 05:32:00,121.78,24.35,16.3,2.6,宜蘭縣政府南方  41.9  公里 (位於宜蘭縣近海)
100140   ,2011/10/9 下午 11:54:00,120.98,22.51,15.9,4.6,台東縣政府西南方  31.8  公里 (位於台東縣近海)
小區域,2011/10/8 下午 07:39:00,121.6,23.81,28.3,4.3,花蓮縣政府南方  20.2  公里 (位於花蓮縣近海)
小區域,2011/10/7 下午 09:00:00,121.79,24.41,6.6,2,宜蘭縣政府南方  35.7  公里 (位於宜蘭縣近海)
100139   ,2011/10/5 上午 06:54:00,121.18,24.66,6.4,3.7,新竹縣政府東南方  25.6  公里 (位於新竹縣尖石鄉)
100138   ,2011/10/1 下午 04:55:00,121.67,24.76,59,4,宜蘭縣政府西偏北方  10.1  公里 (位於宜蘭縣員山鄉)
小區域,2011/9/28 下午 07:52:00,121.92,24.39,19.2,3.3,宜蘭縣政府南偏東方  41.3  公里 (位於台灣東部海域)
小區域,2011/9/27 下午 09:38:00,121.84,24.41,11.7,2.8,宜蘭縣政府南偏東方  36.5  公里 (位於宜蘭縣近海)
小區域,2011/9/27 上午 05:10:00,121.08,22.78,6.4,3,台東縣政府西偏北方  7.9  公里 (位於台東縣卑南鄉)
小區域,2011/9/27 上午 01:18:00,121.34,23.11,7.8,2.6,台東縣政府北偏東方  44.0  公里 (位於台東縣成功鎮)
小區域,2011/9/27 上午 12:49:00,121.33,22.9,21.3,2.9,台東縣政府東北方  24.1  公里 (位於台東縣近海)
小區域,2011/9/25 下午 04:05:00,122.03,24.91,13.9,4,宜蘭縣政府東偏北方  33.9  公里 (位於台灣東部海域)
小區域,2011/9/24 下午 02:34:00,121.48,24.37,8,2.8,花蓮縣政府北偏西方  44.3  公里 (位於宜蘭縣南澳鄉)
小區域,2011/9/23 下午 09:29:00,121,22.6,7.9,2.6,台東縣政府西南方  23.3  公里 (位於台東縣太麻里鄉)
小區域,2011/9/23 下午 07:02:00,121.37,23.26,17.5,3.2,台東縣政府北偏東方  59.8  公里 (位於台東縣長濱鄉)
小區域,2011/9/22 下午 02:57:00,121.67,24.1,16.6,3.4,花蓮縣政府北偏東方  12.8  公里 (位於花蓮縣近海)
小區域,2011/9/22 下午 12:39:00,121.32,22.85,19.8,3.7,台東縣政府東偏北方  20.6  公里 (位於台灣東部海域)
